uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,family,nativeStatusCode,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy,publicationDate,release
918b3868-d0cd-42fd-b6d2-3d937c5af066,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C1,2019-07-03T13:34Z,NIWO_031.C1.2019-07-03T07:34-06:00[US/Mountain],6,Y,AMCR,Corvus brachyrhynchos,species,American Crow,Corvidae,N,161,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
2e8dd51b-9237-4848-98e3-833370992c45,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C1,2019-07-03T13:34Z,NIWO_031.C1.2019-07-03T07:34-06:00[US/Mountain],6,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,69,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
b0456ede-c6d7-4988-96a4-0a195e6d8b46,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C1,2019-07-03T13:34Z,NIWO_031.C1.2019-07-03T07:34-06:00[US/Mountain],1,Y,MOCH,Poecile gambeli,species,Mountain Chickadee,Paridae,N,40,calling,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
5f2f944c-2166-4d57-a9ed-4341c5cafb2a,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C1,2019-07-03T13:34Z,NIWO_031.C1.2019-07-03T07:34-06:00[US/Mountain],2,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
1860c6cc-9a4f-471d-82eb-ee8607a24d3b,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C1,2019-07-03T13:34Z,NIWO_031.C1.2019-07-03T07:34-06:00[US/Mountain],1,Y,HETH,Catharus guttatus,species,Hermit Thrush,Turdidae,N,94,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
44c753c8-2978-4971-bad1-d29b897228ac,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C1,2019-07-03T13:34Z,NIWO_031.C1.2019-07-03T07:34-06:00[US/Mountain],4,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
5d310c17-82ae-493d-b259-d6fea3bbb549,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C1,2019-07-03T13:34Z,NIWO_031.C1.2019-07-03T07:34-06:00[US/Mountain],3,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
4ba02c44-19b1-4b85-be60-9cee5db7f8ed,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C1,2019-07-03T13:34Z,NIWO_031.C1.2019-07-03T07:34-06:00[US/Mountain],1,Y,HETH,Catharus guttatus,species,Hermit Thrush,Turdidae,N,65,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
ad211c0c-c9e2-4a7f-80a5-58dc40ec5db2,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C1,2019-07-03T13:34Z,NIWO_031.C1.2019-07-03T07:34-06:00[US/Mountain],5,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
6023d463-b31b-4c95-a6eb-09eddbdc9138,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C2,2019-07-03T13:56Z,NIWO_031.C2.2019-07-03T07:56-06:00[US/Mountain],3,Y,BTHU,Selasphorus platycercus,species,Broad-tailed Hummingbird,Trochilidae,N,22,other aural (e.g. wing beats),Yes,Male,1,,LDERD,20201223T141931Z,RELEASE-2021
aa2ab98d-61ed-42c5-821e-5ae6fe964c4c,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C2,2019-07-03T13:56Z,NIWO_031.C2.2019-07-03T07:56-06:00[US/Mountain],5,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,67,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
bb99c6d7-d58e-47ac-a79b-e0dcede23716,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C2,2019-07-03T13:56Z,NIWO_031.C2.2019-07-03T07:56-06:00[US/Mountain],6,Y,HETH,Catharus guttatus,species,Hermit Thrush,Turdidae,N,77,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
cd8e833a-3525-4237-96e2-dbe38f940ae2,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C2,2019-07-03T13:56Z,NIWO_031.C2.2019-07-03T07:56-06:00[US/Mountain],4,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
8f4123cb-6513-481c-8ea2-3a01f3645526,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C2,2019-07-03T13:56Z,NIWO_031.C2.2019-07-03T07:56-06:00[US/Mountain],1,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,49,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
9a947a45-3c7d-49ae-96e4-5aaf58ca1592,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C2,2019-07-03T13:56Z,NIWO_031.C2.2019-07-03T07:56-06:00[US/Mountain],2,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
6a029ac0-0b68-42ab-a9ff-afce8fd48d5c,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C2,2019-07-03T13:56Z,NIWO_031.C2.2019-07-03T07:56-06:00[US/Mountain],3,Y,DEJU,Junco hyemalis,species,Dark-eyed Junco,Emberizidae,N,46,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
64b34607-360d-4aa1-8525-8c8d462186a8,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B2,2019-07-03T14:17Z,NIWO_031.B2.2019-07-03T08:17-06:00[US/Mountain],3,Y,MOCH,Poecile gambeli,species,Mountain Chickadee,Paridae,N,35,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
33dffb5a-d81b-4e7a-80c8-0a0855c13962,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B2,2019-07-03T14:17Z,NIWO_031.B2.2019-07-03T08:17-06:00[US/Mountain],1,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
563a51a3-373f-42d4-ab7d-837330e33430,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B2,2019-07-03T14:17Z,NIWO_031.B2.2019-07-03T08:17-06:00[US/Mountain],4,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
74fac9cb-5b2c-4e7f-81ca-ff578a467c67,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B2,2019-07-03T14:17Z,NIWO_031.B2.2019-07-03T08:17-06:00[US/Mountain],2,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
3ff77257-6272-4e55-9c91-d8d32b4ed413,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B2,2019-07-03T14:17Z,NIWO_031.B2.2019-07-03T08:17-06:00[US/Mountain],5,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
49267218-9f6e-4d81-b92d-1126801b882f,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,B2,2019-07-03T14:17Z,NIWO_031.B2.2019-07-03T08:17-06:00[US/Mountain],6,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
5b0cc357-cd3c-4250-acd9-2d1ab5d2d689,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C3,2019-07-03T14:36Z,NIWO_031.C3.2019-07-03T08:36-06:00[US/Mountain],1,Y,HETH,Catharus guttatus,species,Hermit Thrush,Turdidae,N,72,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
ca136820-35e9-48f0-936b-07ae2852dbdb,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C3,2019-07-03T14:36Z,NIWO_031.C3.2019-07-03T08:36-06:00[US/Mountain],2,Y,DEJU,Junco hyemalis,species,Dark-eyed Junco,Emberizidae,N,40,calling,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
59b69749-ecee-4e2f-b1a0-0fc892058d50,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C3,2019-07-03T14:36Z,NIWO_031.C3.2019-07-03T08:36-06:00[US/Mountain],2,Y,HETH,Catharus guttatus,species,Hermit Thrush,Turdidae,N,135,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
4093fe85-a5c2-42d2-9964-f148500b5c4f,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C3,2019-07-03T14:36Z,NIWO_031.C3.2019-07-03T08:36-06:00[US/Mountain],3,N,"","","","","","",,"","","",,,LDERD,20201223T141931Z,RELEASE-2021
f8904ff1-b7e4-488f-893e-042a7371f507,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C3,2019-07-03T14:36Z,NIWO_031.C3.2019-07-03T08:36-06:00[US/Mountain],2,Y,MOCH,Poecile gambeli,species,Mountain Chickadee,Paridae,N,78,calling,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
66cb8e5b-038a-4ab2-830c-7db35ee84b6c,NIWO_031.birdGrid.brd,D13,NIWO,NIWO_031,distributed,C3,2019-07-03T14:36Z,NIWO_031.C3.2019-07-03T08:36-06:00[US/Mountain],5,Y,RCKI,Regulus calendula,species,Ruby-crowned Kinglet,Regulidae,N,88,singing,No,Unknown,1,,LDERD,20201223T141931Z,RELEASE-2021
